,Species_Code,Common_Name,Scientific_Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,taxanomic_source,taxanomic_id,species_definition
85,TRE,Treefish,Sebastes serriceps,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebasetes,Sebastes serriceps,www.marinespecies.org,274853,Sebastes serriceps
86,TSM,Top smelt,Atherinops affinis,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Atherinops,Atherinops affinis,www.marinespecies.org,279812,Atherinops affinis
87,TUB,Tubesnout,Aulorhynchus flavidus,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Aulorhynchidae,Aulorhynchus,Aulorhynchus flavidus,www.marinespecies.org,279839,Aulorhynchus flavidus
88,UKR,Unknown rockfish,Sebastes,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebasetes,,www.marinespecies.org,126175,Only identified up to order Sebastes
89,UNK,Unknown,,Animalia,Chordata,,,,,,www.marinespecies.org,1821,Species not recorded - Most likely from the Actinopterygii or Elasmobranchii class
90,VER,Vermilion Rockfish,Sebastes miniatus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebasetes,Sebastes miniatus,www.marinespecies.org,274820,Sebastes miniatus
91,WCR,White Croaker,Genyonemus lineatus,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Genyonemus,Genyonemus lineatus,www.marinespecies.org,280830,Genyonemus lineatus
92,WHT,Ocean Whitefish,Caulolatilus princeps,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae,Caulolatilus,Caulolatilus princeps,www.marinespecies.org,276217,Caulolatilus princeps
93,WID,Widow Rockfish,Sebastes entomelas,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebasetes,Sebastes entomelas,www.marinespecies.org,274791,Sebastes entomelas
94,WLF,Wolf Eel,Anarrhichthys ocellatus,Animalia,Chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarrhichthys,Anarrhichthys ocellatus,www.marinespecies.org,279605,Anarrhichthys ocellatus
95,WSB,White Seabass,Atractoscion nobilis,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Atractoscion,Atractoscion nobilis,www.marinespecies.org,278535,Atractoscion nobilis
96,YFC,Yellowfin Croaker,Umbrina roncador,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Umbrina,Umbrina roncador,www.marinespecies.org,273802,Umbrina roncador
97,YLE,Yelloweye Rockfish,Sebastes ruberrimus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebasetes,Sebastes ruberrimus,www.marinespecies.org,274844,Sebastes ruberrimus
98,YTJ,Yellowtail Jack,Seriola lalandi,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Seriola,Seriola lalandi,www.marinespecies.org,218436,Seriola lalandi
99,YTL,Yellowtail Rockfish,Sebastes flavidus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebasetes,Sebastes flavidus,www.marinespecies.org,274795,Sebastes flavidus
